node,new_score,original_sco,diff
anon_S2584E,620.702957381,535.0,85.702957381
anon_S5742E,569.92000513,587.0,-17.07999487
anon_S396E,613.601982356,627.0,-13.398017644
anon_S5779E,612.404586141,654.0,-41.595413859
anon_S4897E,599.994924668,620.0,-20.005075332
anon_S1414E,626.995416316,629.0,-2.004583684
anon_S4161E,571.502417738,563.0,8.502417738
anon_S4664E,584.332117712,586.0,-1.667882288
anon_S4802E,618.264506821,644.0,-25.735493179
anon_S4937E,635.703763759,637.0,-1.296236241
anon_S5421E,573.463273039,569.0,4.463273039
anon_S4056E,593.687011301,520.0,73.687011301
anon_S5268E,537.950061302,525.0,12.950061302
anon_S2755E,543.704016585,533.0,10.704016585
anon_S194E,596.767563179,648.0,-51.232436821
anon_S2223E,658.824689939,676.0,-17.175310061
anon_S725E,535.787711493,525.0,10.787711493
anon_S5148E,574.893476842,549.0,25.893476842
anon_S1559E,605.061255893,684.0,-78.938744107
anon_S2290E,576.863305564,560.0,16.863305564
anon_S1248E,625.97194698,622.0,3.97194698
anon_S1497E,652.430659806,578.0,74.430659806
anon_S2530E,549.248454816,314.0,235.248454816
anon_S1375E,576.193612425,577.0,-0.806387575
anon_S1562E,568.363704184,533.0,35.363704184
anon_S1328E,585.0,585.0,0.0
anon_S3025E,627.459258651,430.0,197.459258651
anon_S3696E,583.908289131,358.0,225.908289131
anon_S2850E,549.1155914,439.0,110.1155914
anon_S3161E,661.348266444,663.0,-1.651733556
anon_S4407E,662.148911328,685.0,-22.851088672
anon_S29E,561.455828205,711.0,-149.544171795
anon_S299E,541.430831108,570.0,-28.569168892
anon_S490E,649.479367145,719.0,-69.520632855
anon_S2416E,611.176417271,402.0,209.176417271
anon_S2362E,659.269439458,666.0,-6.730560542
anon_S3344E,594.256480513,527.0,67.256480513
anon_S2929E,658.075704272,621.0,37.075704272
anon_S5904E,542.470980032,516.0,26.470980032
anon_S2257E,655.14517688,628.0,27.14517688
anon_S3469E,656.64811696,565.0,91.64811696
anon_S3093E,662.041133156,572.0,90.041133156
anon_S3875E,549.248454816,446.0,103.248454816
anon_S3792E,662.062380975,698.0,-35.937619025
anon_S4608E,554.671364767,556.0,-1.328635233
anon_S4775E,569.053974434,634.0,-64.946025566
anon_S562E,557.369344902,562.0,-4.630655098
anon_S5800E,573.273711652,618.0,-44.726288348
anon_S3940E,562.37378559,612.0,-49.62621441
anon_S1008E,575.213371781,575.0,0.213371781
anon_S905E,495.1274567,495.0,0.1274567
anon_S76E,594.124477123,743.0,-148.875522877
anon_S4136E,560.378370683,542.0,18.378370683
anon_S4001E,639.930156562,564.0,75.930156562
anon_S4506E,584.832783373,543.0,41.832783373
